Fecha;Aplicacion;Pais;Dispositivo;Instalaciones;Desinstalaciones;Impresiones
10/10/2017;eticsearch;ES;iPad;6;0;0
11/10/2017;eticsearch;ES;iPad;1;0;0
16/10/2017;eticsearch;ES;iPad;3;0;0
17/10/2017;eticsearch;ES;iPad;4;0;0
21/10/2017;eticsearch;ES;iPad;1;0;0
25/10/2017;eticsearch;ES;iPad;1;0;0
28/10/2017;eticsearch;ES;iPad;1;0;0
04/11/2017;eticsearch;ES;iPad;1;0;0
10/11/2017;eticsearch;ES;iPad;1;0;0
16/11/2017;eticsearch;ES;iPad;2;0;0
22/11/2017;eticsearch;ES;iPad;1;0;0
23/11/2017;eticsearch;ES;iPad;1;0;0
25/11/2017;eticsearch;ES;iPad;1;0;0
04/12/2017;eticsearch;ES;iPad;1;0;0
05/01/2018;eticsearch;ES;iPad;1;0;0
13/03/2018;eticsearch;ES;iPad;1;0;0
15/03/2018;eticsearch;ES;iPad;1;0;0
21/03/2018;eticsearch;ES;iPad;1;0;0
10/10/2017;eticsearch;ES;iPhone;22;0;0
11/10/2017;eticsearch;ES;iPhone;3;0;0
13/10/2017;eticsearch;ES;iPhone;2;0;0
16/10/2017;eticsearch;US;iPhone;16;0;0
17/10/2017;eticsearch;ES;iPhone;2;0;0
18/10/2017;eticsearch;ES;iPhone;2;0;0
19/10/2017;eticsearch;ES;iPhone;3;0;0
20/10/2017;eticsearch;ES;iPhone;2;0;0
21/10/2017;eticsearch;ES;iPhone;1;0;0
23/10/2017;eticsearch;ES;iPhone;1;0;0
25/10/2017;eticsearch;ES;iPhone;3;0;0
26/10/2017;eticsearch;ES;iPhone;2;0;0
27/10/2017;eticsearch;US;iPhone;1;0;0
28/10/2017;eticsearch;ES;iPhone;1;0;0
29/10/2017;eticsearch;ES;iPhone;1;0;0
30/10/2017;eticsearch;ES;iPhone;1;0;0
31/10/2017;eticsearch;ES;iPhone;1;0;0
02/11/2017;eticsearch;ES;iPhone;1;0;0
03/11/2017;eticsearch;ES;iPhone;1;0;0
05/11/2017;eticsearch;ES;iPhone;1;0;0
09/11/2017;eticsearch;ES;iPhone;2;0;0
10/11/2017;eticsearch;ES;iPhone;2;0;0
13/11/2017;eticsearch;ES;iPhone;2;0;0
14/11/2017;eticsearch;ES;iPhone;1;0;0
15/11/2017;eticsearch;ES;iPhone;1;0;0
16/11/2017;eticsearch;ES;iPhone;3;0;0
18/11/2017;eticsearch;ES;iPhone;2;0;0
21/11/2017;eticsearch;ES;iPhone;6;0;0
26/11/2017;eticsearch;ES;iPhone;1;0;0
27/11/2017;eticsearch;ES;iPhone;3;0;0
28/11/2017;eticsearch;ES;iPhone;1;0;0
30/11/2017;eticsearch;ES;iPhone;2;0;0
02/12/2017;eticsearch;ES;iPhone;1;0;0
04/12/2017;eticsearch;ES;iPhone;1;0;0
07/12/2017;eticsearch;ES;iPhone;1;0;0
11/12/2017;eticsearch;ES;iPhone;1;0;0
13/12/2017;eticsearch;ES;iPhone;1;0;0
16/12/2017;eticsearch;ES;iPhone;1;0;0
14/01/2018;eticsearch;ES;iPhone;1;0;0
22/01/2018;eticsearch;ES;iPhone;1;0;0
24/01/2018;eticsearch;ES;iPhone;1;0;0
05/02/2018;eticsearch;ES;iPhone;1;0;0
07/02/2018;eticsearch;ES;iPhone;1;0;0
09/02/2018;eticsearch;ES;iPhone;1;0;0
13/02/2018;eticsearch;ES;iPhone;2;0;0
14/02/2018;eticsearch;ES;iPhone;4;0;0
16/02/2018;eticsearch;ES;iPhone;1;0;0
26/02/2018;eticsearch;ES;iPhone;1;0;0
