Fecha;Aplicacion;Pais;Dispositivo;Instalaciones;Desinstalaciones;Impresiones
01/02/2018;eticsearch;ES;serranolte;3;0;0
02/02/2018;eticsearch;ES;Aquaris_M5;2;2;0
05/02/2018;eticsearch;ES;bullhead;4;2;0
06/02/2018;eticsearch;ES;Aquaris_M5;6;1;0
07/02/2018;eticsearch;ES;bullhead;3;2;0
08/02/2018;eticsearch;ES;Aquaris_E5_HD;2;2;0
09/02/2018;eticsearch;ES;Aquaris_M5;4;0;0
10/02/2018;eticsearch;ES;Aquaris_X5_Plus;1;2;0
12/02/2018;eticsearch;ES;D6503;2;0;0
14/02/2018;eticsearch;ES;DOOGEE;4;2;0
15/02/2018;eticsearch;ES;HWVNS-H;3;1;0
16/02/2018;eticsearch;ES;OnePlus3;1;3;0
17/02/2018;eticsearch;ES;arubaslimss;2;1;0
18/02/2018;eticsearch;ES;bullhead;3;2;0
19/02/2018;eticsearch;ES;hammerhead;2;2;0
20/02/2018;eticsearch;ES;herolte;4;1;0
22/02/2018;eticsearch;ES;hwALE-H;3;4;0
23/02/2018;eticsearch;ES;j3xnlte;6;1;0
24/02/2018;eticsearch;ES;k15tb_a;1;0;0
26/02/2018;eticsearch;ES;kccat6;5;3;0
27/02/2018;eticsearch;ES;meliuslte;1;2;0
28/02/2018;eticsearch;ES;p1;3;3;0
01/10/2017;eticsearch;ES;p4notewifiww;1;1;0
02/10/2017;eticsearch;ES;serranolte;3;2;0
03/10/2017;eticsearch;ES;trlte;3;0;0
04/10/2017;eticsearch;ES;A0001;4;3;0
05/10/2017;eticsearch;ES;ASUS_Z00E_2;2;1;0
06/10/2017;eticsearch;ES;Aquaris_E10;6;3;0
07/10/2017;eticsearch;ES;Aquaris_E45;1;0;0
08/10/2017;eticsearch;ES;Aquaris_E5;1;2;0
09/10/2017;eticsearch;ES;Aquaris_E5_HD;3;3;0
10/10/2017;eticsearch;ES;Aquaris_E6;8;2;0
11/10/2017;eticsearch;ES;Aquaris_M5;4;1;0
12/10/2017;eticsearch;ES;Aquaris_M55;1;3;0
13/10/2017;eticsearch;ES;Aquaris_X5;4;1;0
14/10/2017;eticsearch;ES;Aquaris_X5_Plus;3;2;0
15/10/2017;eticsearch;ES;C2105;1;1;0
16/10/2017;eticsearch;ES;C6603;3;2;0
17/10/2017;eticsearch;ES;C6903;4;4;0
18/10/2017;eticsearch;ES;D2005;2;3;0
19/10/2017;eticsearch;ES;D6503;3;4;0
20/10/2017;eticsearch;ES;DOOGEE;1;0;0
23/10/2017;eticsearch;ES;E5603;5;2;0
24/10/2017;eticsearch;ES;E5823;5;2;0
25/10/2017;eticsearch;ES;E6653;5;2;0
26/10/2017;eticsearch;ES;HWEVA;2;1;0
27/10/2017;eticsearch;ES;HWGRA;7;1;0
29/10/2017;eticsearch;ES;HWVNS-H;2;0;0
30/10/2017;eticsearch;ES;MyWigo;2;2;0
31/10/2017;eticsearch;ES;OnePlus;3;0;0
01/12/2017;eticsearch;ES;OnePlus3;3;2;0
02/12/2017;eticsearch;ES;P809A20;1;2;0
03/12/2017;eticsearch;ES;P839V55;2;1;0
04/12/2017;eticsearch;ES;UMI_TOUCH;2;3;0
05/12/2017;eticsearch;ES;a3ulte;4;1;0
06/12/2017;eticsearch;ES;a3xelte;1;3;0
07/12/2017;eticsearch;ES;a5ulte;1;1;0
11/12/2017;eticsearch;ES;arubaslimss;3;1;0
12/12/2017;eticsearch;ES;baffinlite;1;3;0
13/12/2017;eticsearch;ES;bullhead;2;3;0
14/12/2017;eticsearch;ES;chagalllte;1;1;0
15/12/2017;eticsearch;ES;chagallwifi;5;2;0
16/12/2017;eticsearch;ES;coreprimelte;1;2;0
17/12/2017;eticsearch;ES;coreprimevelte;1;2;0
18/12/2017;eticsearch;ES;dragon;1;1;0
19/12/2017;eticsearch;ES;espresso10rf;1;0;0
21/12/2017;eticsearch;ES;g3;3;1;0
23/12/2017;eticsearch;ES;golden;1;2;0
25/12/2017;eticsearch;ES;grandprimelte;1;0;0
26/12/2017;eticsearch;ES;grandprimevelte;2;2;0
27/12/2017;eticsearch;ES;hammerhead;3;0;0
